                                 Started job on |	Sep 21 09:06:05
                             Started mapping on |	Sep 21 09:06:05
                                    Finished on |	Sep 21 09:07:01
       Mapping speed, Million of reads per hour |	415.40

                          Number of input reads |	6461815
                      Average input read length |	26
                                    UNIQUE READS:
                   Uniquely mapped reads number |	93359
                        Uniquely mapped reads % |	1.44%
                          Average mapped length |	17.64
                       Number of splices: Total |	0
            Number of splices: Annotated (sjdb) |	0
                       Number of splices: GT/AG |	0
                       Number of splices: GC/AG |	0
                       Number of splices: AT/AC |	0
               Number of splices: Non-canonical |	0
                      Mismatch rate per base, % |	0.10%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.00
                        Insertion rate per base |	0.02%
                       Insertion average length |	1.08
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	1968
             % of reads mapped to multiple loci |	0.03%
        Number of reads mapped to too many loci |	2
             % of reads mapped to too many loci |	0.00%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.01%
                 % of reads unmapped: too short |	98.52%
                     % of reads unmapped: other |	0.00%
                                 Started job on |	Sep 21 09:07:55
                             Started mapping on |	Sep 21 09:08:09
                                    Finished on |	Sep 21 09:09:24
       Mapping speed, Million of reads per hour |	305.59

                          Number of input reads |	6366488
                      Average input read length |	26
                                    UNIQUE READS:
                   Uniquely mapped reads number |	183892
                        Uniquely mapped reads % |	2.89%
                          Average mapped length |	20.17
                       Number of splices: Total |	0
            Number of splices: Annotated (sjdb) |	0
                       Number of splices: GT/AG |	0
                       Number of splices: GC/AG |	0
                       Number of splices: AT/AC |	0
               Number of splices: Non-canonical |	0
                      Mismatch rate per base, % |	0.69%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.00
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.06
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	82202
             % of reads mapped to multiple loci |	1.29%
        Number of reads mapped to too many loci |	8724
             % of reads mapped to too many loci |	0.14%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.01%
                 % of reads unmapped: too short |	95.68%
                     % of reads unmapped: other |	0.00%
