Class	Sub_Class	Reads
Clean_Reads	-	4387348
Match_Genome	-	451480
miRBase-miRNA_Match_Genome	-	6610
miRBase-miRNA_Match_Genome	hiv1-mir-H1	1.00
miRBase-miRNA_Match_Genome	mmu-let-7a-1	129.26
miRBase-miRNA_Match_Genome	mmu-let-7a-2	107.09
miRBase-miRNA_Match_Genome	mmu-let-7a-5p	17.16
miRBase-miRNA_Match_Genome	mmu-let-7b	38.28
miRBase-miRNA_Match_Genome	mmu-let-7b-5p	4.78
miRBase-miRNA_Match_Genome	mmu-let-7c-1	107.63
miRBase-miRNA_Match_Genome	mmu-let-7c-2	156.57
miRBase-miRNA_Match_Genome	mmu-let-7c-5p	10.30
miRBase-miRNA_Match_Genome	mmu-let-7d	34.73
miRBase-miRNA_Match_Genome	mmu-let-7d-3p	0.50
miRBase-miRNA_Match_Genome	mmu-let-7d-5p	2.29
miRBase-miRNA_Match_Genome	mmu-let-7e	22.64
miRBase-miRNA_Match_Genome	mmu-let-7e-5p	2.89
miRBase-miRNA_Match_Genome	mmu-let-7f-1	248.82
miRBase-miRNA_Match_Genome	mmu-let-7f-2	138.33
miRBase-miRNA_Match_Genome	mmu-let-7f-5p	11.48
miRBase-miRNA_Match_Genome	mmu-let-7g	121.88
miRBase-miRNA_Match_Genome	mmu-let-7g-5p	11.88
miRBase-miRNA_Match_Genome	mmu-let-7i	42.25
miRBase-miRNA_Match_Genome	mmu-let-7i-5p	0.25
miRBase-miRNA_Match_Genome	mmu-let-7j	1.50
miRBase-miRNA_Match_Genome	mmu-miR-100-5p	0.75
miRBase-miRNA_Match_Genome	mmu-miR-101a-3p	0.45
miRBase-miRNA_Match_Genome	mmu-miR-101c	0.20
miRBase-miRNA_Match_Genome	mmu-miR-103-3p	0.53
miRBase-miRNA_Match_Genome	mmu-miR-106b-3p	3.00
miRBase-miRNA_Match_Genome	mmu-miR-107-3p	0.20
miRBase-miRNA_Match_Genome	mmu-miR-10a-5p	145.25
miRBase-miRNA_Match_Genome	mmu-miR-10b-3p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-10b-5p	82.50
miRBase-miRNA_Match_Genome	mmu-miR-1187	0.04
miRBase-miRNA_Match_Genome	mmu-miR-1195	0.50
miRBase-miRNA_Match_Genome	mmu-miR-1249-3p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-125a-5p	6.50
miRBase-miRNA_Match_Genome	mmu-miR-125b-5p	5.67
miRBase-miRNA_Match_Genome	mmu-miR-128-3p	0.33
miRBase-miRNA_Match_Genome	mmu-miR-1306-3p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-130b-5p	2.00
miRBase-miRNA_Match_Genome	mmu-miR-135b-3p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-140-3p	1.00
miRBase-miRNA_Match_Genome	mmu-miR-141-3p	1.75
miRBase-miRNA_Match_Genome	mmu-miR-142a-5p	6.67
miRBase-miRNA_Match_Genome	mmu-miR-143-3p	1.50
miRBase-miRNA_Match_Genome	mmu-miR-145a-3p	1.50
miRBase-miRNA_Match_Genome	mmu-miR-145a-5p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-146b-5p	1.00
miRBase-miRNA_Match_Genome	mmu-miR-148a-3p	2.00
miRBase-miRNA_Match_Genome	mmu-miR-148b-3p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-150-5p	1.00
miRBase-miRNA_Match_Genome	mmu-miR-16-5p	3.00
miRBase-miRNA_Match_Genome	mmu-miR-182-5p	4.50
miRBase-miRNA_Match_Genome	mmu-miR-184-3p	3.00
miRBase-miRNA_Match_Genome	mmu-miR-1843a-5p	0.25
miRBase-miRNA_Match_Genome	mmu-miR-1843b-5p	0.25
miRBase-miRNA_Match_Genome	mmu-miR-18a-3p	0.25
miRBase-miRNA_Match_Genome	mmu-miR-18b-3p	0.25
miRBase-miRNA_Match_Genome	mmu-miR-191-5p	31.50
miRBase-miRNA_Match_Genome	mmu-miR-1934-3p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-1946a	0.50
miRBase-miRNA_Match_Genome	mmu-miR-1946b	0.50
miRBase-miRNA_Match_Genome	mmu-miR-1947-5p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-199a-3p	0.60
miRBase-miRNA_Match_Genome	mmu-miR-199b-3p	0.60
miRBase-miRNA_Match_Genome	mmu-miR-1a-3p	0.33
miRBase-miRNA_Match_Genome	mmu-miR-200a-3p	3.75
miRBase-miRNA_Match_Genome	mmu-miR-200b-3p	5.00
miRBase-miRNA_Match_Genome	mmu-miR-200c-3p	22.00
miRBase-miRNA_Match_Genome	mmu-miR-212-5p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-2137	11.00
miRBase-miRNA_Match_Genome	mmu-miR-21a-5p	5.00
miRBase-miRNA_Match_Genome	mmu-miR-22-3p	1.50
miRBase-miRNA_Match_Genome	mmu-miR-23a-3p	1.50
miRBase-miRNA_Match_Genome	mmu-miR-25-3p	2.00
miRBase-miRNA_Match_Genome	mmu-miR-26a-5p	16.67
miRBase-miRNA_Match_Genome	mmu-miR-26b-5p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-27a-3p	4.25
miRBase-miRNA_Match_Genome	mmu-miR-27b-3p	5.25
miRBase-miRNA_Match_Genome	mmu-miR-28a-5p	1.07
miRBase-miRNA_Match_Genome	mmu-miR-28c	0.40
miRBase-miRNA_Match_Genome	mmu-miR-298-5p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-29a-3p	4.25
miRBase-miRNA_Match_Genome	mmu-miR-29b-3p	0.20
miRBase-miRNA_Match_Genome	mmu-miR-29c-3p	0.45
miRBase-miRNA_Match_Genome	mmu-miR-30a-5p	2.83
miRBase-miRNA_Match_Genome	mmu-miR-30c-5p	0.67
miRBase-miRNA_Match_Genome	mmu-miR-30d-5p	6.83
miRBase-miRNA_Match_Genome	mmu-miR-30e-3p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-30e-5p	0.33
miRBase-miRNA_Match_Genome	mmu-miR-340-5p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-342-3p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-3473a	0.84
miRBase-miRNA_Match_Genome	mmu-miR-3473b	0.84
miRBase-miRNA_Match_Genome	mmu-miR-3473e	3.31
miRBase-miRNA_Match_Genome	mmu-miR-34b-3p	14.00
miRBase-miRNA_Match_Genome	mmu-miR-34b-5p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-34c-5p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-3620-5p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-378a-5p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-382-3p	0.50
miRBase-miRNA_Match_Genome	mmu-miR-3960	0.33
miRBase-miRNA_Match_Genome	mmu-miR-3962	3.75
miRBase-miRNA_Match_Genome	mmu-miR-3964	2.17
miRBase-miRNA_Match_Genome	mmu-miR-3969	0.67
miRBase-miRNA_Match_Genome	mmu-miR-425-5p	1.00
