Class	Length	Reads
Clean_Reads	15	19576
Clean_Reads	16	21754
Clean_Reads	17	29201
Clean_Reads	18	33614
Clean_Reads	19	35691
Clean_Reads	20	43782
Clean_Reads	21	61989
Clean_Reads	22	102350
Clean_Reads	23	91645
Clean_Reads	24	105730
Clean_Reads	25	146035
Clean_Reads	26	193043
Clean_Reads	27	393019
Clean_Reads	28	719394
Clean_Reads	29	688358
Clean_Reads	30	471398
Clean_Reads	31	258469
Clean_Reads	32	161081
Clean_Reads	33	117258
Clean_Reads	34	80120
Clean_Reads	35	55724
Clean_Reads	36	44687
Clean_Reads	37	35724
Clean_Reads	38	25324
Clean_Reads	39	22788
Clean_Reads	40	28334
Clean_Reads	43	316505
Match_Genome	15	19563
Match_Genome	16	21492
Match_Genome	17	27585
Match_Genome	18	27166
Match_Genome	19	21579
Match_Genome	20	15503
Match_Genome	21	11130
Match_Genome	22	9970
Match_Genome	23	8092
Match_Genome	24	11320
Match_Genome	25	17538
Match_Genome	26	25014
Match_Genome	27	44189
Match_Genome	28	30556
Match_Genome	29	25646
Match_Genome	30	38636
Match_Genome	31	11685
Match_Genome	32	6012
Match_Genome	33	4893
Match_Genome	34	3658
Match_Genome	35	2573
Match_Genome	36	2110
Match_Genome	37	1369
Match_Genome	38	1003
Match_Genome	39	1045
Match_Genome	40	1894
Match_Genome	43	26024
miRBase-miRNA_Match_Genome	15	191.00
miRBase-miRNA_Match_Genome	16	127.00
miRBase-miRNA_Match_Genome	17	215.00
miRBase-miRNA_Match_Genome	18	335.00
miRBase-miRNA_Match_Genome	19	654.00
miRBase-miRNA_Match_Genome	20	474.00
miRBase-miRNA_Match_Genome	21	809.00
miRBase-miRNA_Match_Genome	22	1597.00
miRBase-miRNA_Match_Genome	23	479.00
miRBase-miRNA_Match_Genome	24	271.00
miRBase-miRNA_Match_Genome	25	60.00
miRBase-miRNA_Match_Genome	26	7.00
miRBase-miRNA_Match_Genome	28	3.00
miRBase-miRNA_Match_Genome	29	3.00
miRBase-miRNA_Match_Genome	30	7.00
miRBase-miRNA_Match_Genome	31	5.00
miRBase-miRNA_Match_Genome	33	1.00
miRBase-miRNA_Match_Genome	34	1.00
miRBase-miRNA_Match_Genome	36	3.00
miRBase-miRNA_Match_Genome	40	2.00
miRBase-miRNA_Match_Genome	43	37.00
miRBase-miRNA_Unmatch_Genome	23	1.00
miRBase-miRNA_Unmatch_Genome	43	2.00
rRNAdb-rRNA_Match_Genome	15	542.00
rRNAdb-rRNA_Match_Genome	16	479.00
rRNAdb-rRNA_Match_Genome	17	452.00
rRNAdb-rRNA_Match_Genome	18	442.00
rRNAdb-rRNA_Match_Genome	19	328.00
rRNAdb-rRNA_Match_Genome	20	290.00
