Class	Length	Reads
Clean_Reads	15	62867
Clean_Reads	16	77299
Clean_Reads	17	104675
Clean_Reads	18	131193
Clean_Reads	19	138074
Clean_Reads	20	155441
Clean_Reads	21	189638
Clean_Reads	22	239269
Clean_Reads	23	243583
Clean_Reads	24	285697
Clean_Reads	25	389667
Clean_Reads	26	512463
Clean_Reads	27	752410
Clean_Reads	28	1318032
Clean_Reads	29	1439240
Clean_Reads	30	1059009
Clean_Reads	31	745659
Clean_Reads	32	565867
Clean_Reads	33	515371
Clean_Reads	34	401868
Clean_Reads	35	290559
Clean_Reads	36	226484
Clean_Reads	37	175759
Clean_Reads	38	129538
Clean_Reads	39	113347
Clean_Reads	40	105722
Clean_Reads	43	633130
Match_Genome	15	62793
Match_Genome	16	75811
Match_Genome	17	95324
Match_Genome	18	96867
Match_Genome	19	72490
Match_Genome	20	49119
Match_Genome	21	34527
Match_Genome	22	29273
Match_Genome	23	27396
Match_Genome	24	33407
Match_Genome	25	44705
Match_Genome	26	62062
Match_Genome	27	76041
Match_Genome	28	59918
Match_Genome	29	57226
Match_Genome	30	67038
Match_Genome	31	38123
Match_Genome	32	28429
Match_Genome	33	23912
Match_Genome	34	20898
Match_Genome	35	16471
Match_Genome	36	12547
Match_Genome	37	7958
Match_Genome	38	5143
Match_Genome	39	4891
Match_Genome	40	6552
Match_Genome	43	50629
miRBase-miRNA_Match_Genome	15	488.00
miRBase-miRNA_Match_Genome	16	288.00
miRBase-miRNA_Match_Genome	17	291.00
miRBase-miRNA_Match_Genome	18	409.00
miRBase-miRNA_Match_Genome	19	687.00
miRBase-miRNA_Match_Genome	20	439.00
miRBase-miRNA_Match_Genome	21	682.00
miRBase-miRNA_Match_Genome	22	1351.00
miRBase-miRNA_Match_Genome	23	495.00
miRBase-miRNA_Match_Genome	24	214.00
miRBase-miRNA_Match_Genome	25	52.00
miRBase-miRNA_Match_Genome	26	12.00
miRBase-miRNA_Match_Genome	27	9.00
miRBase-miRNA_Match_Genome	28	14.00
miRBase-miRNA_Match_Genome	29	7.00
miRBase-miRNA_Match_Genome	30	8.00
miRBase-miRNA_Match_Genome	31	15.00
miRBase-miRNA_Match_Genome	32	3.00
miRBase-miRNA_Match_Genome	33	5.00
miRBase-miRNA_Match_Genome	34	1.00
miRBase-miRNA_Match_Genome	35	4.00
miRBase-miRNA_Match_Genome	36	3.00
miRBase-miRNA_Match_Genome	37	2.00
miRBase-miRNA_Match_Genome	38	2.00
miRBase-miRNA_Match_Genome	39	1.00
miRBase-miRNA_Match_Genome	40	2.00
miRBase-miRNA_Match_Genome	43	50.00
miRBase-miRNA_Unmatch_Genome	18	1.00
miRBase-miRNA_Unmatch_Genome	20	1.00
miRBase-miRNA_Unmatch_Genome	23	1.00
miRBase-miRNA_Unmatch_Genome	24	1.00
