Class	Sub_Class	Reads
Clean_Reads	-	11001861
Match_Genome	-	1159550
miRBase-miRNA_Match_Genome	-	5533
miRBase-miRNA_Match_Genome	mmu-let-7a-1	66.29
miRBase-miRNA_Match_Genome	mmu-let-7a-2	44.63
miRBase-miRNA_Match_Genome	mmu-let-7b	17.00
miRBase-miRNA_Match_Genome	mmu-let-7c-1	38.29
miRBase-miRNA_Match_Genome	mmu-let-7c-2	54.13
miRBase-miRNA_Match_Genome	mmu-let-7d	25.62
miRBase-miRNA_Match_Genome	mmu-let-7e	9.88
miRBase-miRNA_Match_Genome	mmu-let-7f-1	63.12
miRBase-miRNA_Match_Genome	mmu-let-7f-2	49.04
miRBase-miRNA_Match_Genome	mmu-let-7g	54.50
miRBase-miRNA_Match_Genome	mmu-let-7i	13.00
miRBase-miRNA_Match_Genome	mmu-mir-100	3.00
miRBase-miRNA_Match_Genome	mmu-mir-101a	3.50
miRBase-miRNA_Match_Genome	mmu-mir-101c	3.50
miRBase-miRNA_Match_Genome	mmu-mir-103-1	13.00
miRBase-miRNA_Match_Genome	mmu-mir-103-2	2.00
miRBase-miRNA_Match_Genome	mmu-mir-106a	0.50
miRBase-miRNA_Match_Genome	mmu-mir-106b	2.00
miRBase-miRNA_Match_Genome	mmu-mir-10a	315.50
miRBase-miRNA_Match_Genome	mmu-mir-10b	467.50
miRBase-miRNA_Match_Genome	mmu-mir-1187	0.74
miRBase-miRNA_Match_Genome	mmu-mir-1188	1.00
miRBase-miRNA_Match_Genome	mmu-mir-1190	2.00
miRBase-miRNA_Match_Genome	mmu-mir-1191a	1.00
miRBase-miRNA_Match_Genome	mmu-mir-1192	1.00
miRBase-miRNA_Match_Genome	mmu-mir-1194	7.00
miRBase-miRNA_Match_Genome	mmu-mir-1195	22.00
miRBase-miRNA_Match_Genome	mmu-mir-1198	1.00
miRBase-miRNA_Match_Genome	mmu-mir-1199	2.00
miRBase-miRNA_Match_Genome	mmu-mir-124-1	1.00
miRBase-miRNA_Match_Genome	mmu-mir-124-2	1.00
miRBase-miRNA_Match_Genome	mmu-mir-1247	3.00
miRBase-miRNA_Match_Genome	mmu-mir-1249	3.00
miRBase-miRNA_Match_Genome	mmu-mir-1251	2.00
miRBase-miRNA_Match_Genome	mmu-mir-125a	38.00
miRBase-miRNA_Match_Genome	mmu-mir-125b-1	29.00
miRBase-miRNA_Match_Genome	mmu-mir-125b-2	76.00
miRBase-miRNA_Match_Genome	mmu-mir-127	1.00
miRBase-miRNA_Match_Genome	mmu-mir-128-1	13.50
miRBase-miRNA_Match_Genome	mmu-mir-128-2	6.50
miRBase-miRNA_Match_Genome	mmu-mir-1291	11.00
miRBase-miRNA_Match_Genome	mmu-mir-1306	4.00
miRBase-miRNA_Match_Genome	mmu-mir-130b	6.00
miRBase-miRNA_Match_Genome	mmu-mir-133a-2	1.00
miRBase-miRNA_Match_Genome	mmu-mir-133b	1.00
miRBase-miRNA_Match_Genome	mmu-mir-133c	1.00
miRBase-miRNA_Match_Genome	mmu-mir-134	1.00
miRBase-miRNA_Match_Genome	mmu-mir-136	62.00
miRBase-miRNA_Match_Genome	mmu-mir-138-1	1.50
miRBase-miRNA_Match_Genome	mmu-mir-138-2	1.50
miRBase-miRNA_Match_Genome	mmu-mir-139	5.00
miRBase-miRNA_Match_Genome	mmu-mir-140	9.00
miRBase-miRNA_Match_Genome	mmu-mir-141	2.00
miRBase-miRNA_Match_Genome	mmu-mir-142a	12.00
miRBase-miRNA_Match_Genome	mmu-mir-143	22.00
miRBase-miRNA_Match_Genome	mmu-mir-145a	15.00
miRBase-miRNA_Match_Genome	mmu-mir-146a	5.00
miRBase-miRNA_Match_Genome	mmu-mir-146b	4.00
miRBase-miRNA_Match_Genome	mmu-mir-148a	55.00
miRBase-miRNA_Match_Genome	mmu-mir-148b	3.00
miRBase-miRNA_Match_Genome	mmu-mir-150	29.50
miRBase-miRNA_Match_Genome	mmu-mir-151	14.00
miRBase-miRNA_Match_Genome	mmu-mir-152	2.00
miRBase-miRNA_Match_Genome	mmu-mir-15a	2.00
miRBase-miRNA_Match_Genome	mmu-mir-15b	16.00
miRBase-miRNA_Match_Genome	mmu-mir-16-1	37.00
miRBase-miRNA_Match_Genome	mmu-mir-16-2	25.00
miRBase-miRNA_Match_Genome	mmu-mir-1668	2.00
miRBase-miRNA_Match_Genome	mmu-mir-17	1.00
miRBase-miRNA_Match_Genome	mmu-mir-181a-1	4.00
miRBase-miRNA_Match_Genome	mmu-mir-181a-2	4.00
miRBase-miRNA_Match_Genome	mmu-mir-182	20.00
miRBase-miRNA_Match_Genome	mmu-mir-183	33.00
miRBase-miRNA_Match_Genome	mmu-mir-1839	1.00
miRBase-miRNA_Match_Genome	mmu-mir-184	14.00
miRBase-miRNA_Match_Genome	mmu-mir-1843a	4.50
miRBase-miRNA_Match_Genome	mmu-mir-1843b	1.50
miRBase-miRNA_Match_Genome	mmu-mir-185	3.00
miRBase-miRNA_Match_Genome	mmu-mir-186	2.00
miRBase-miRNA_Match_Genome	mmu-mir-187	1.00
miRBase-miRNA_Match_Genome	mmu-mir-1892	1.00
miRBase-miRNA_Match_Genome	mmu-mir-1894	3.00
miRBase-miRNA_Match_Genome	mmu-mir-1895	0.50
miRBase-miRNA_Match_Genome	mmu-mir-1900	7.00
miRBase-miRNA_Match_Genome	mmu-mir-1901	1.00
miRBase-miRNA_Match_Genome	mmu-mir-1903	1.50
miRBase-miRNA_Match_Genome	mmu-mir-1904	1.00
miRBase-miRNA_Match_Genome	mmu-mir-1907	1.00
miRBase-miRNA_Match_Genome	mmu-mir-191	432.00
miRBase-miRNA_Match_Genome	mmu-mir-1928	3.00
miRBase-miRNA_Match_Genome	mmu-mir-1934	2.24
miRBase-miRNA_Match_Genome	mmu-mir-1936	1.00
miRBase-miRNA_Match_Genome	mmu-mir-193a	1.00
miRBase-miRNA_Match_Genome	mmu-mir-194-2	8.00
miRBase-miRNA_Match_Genome	mmu-mir-1946a	3.00
miRBase-miRNA_Match_Genome	mmu-mir-1946b	5.00
miRBase-miRNA_Match_Genome	mmu-mir-1947	3.00
miRBase-miRNA_Match_Genome	mmu-mir-1949	2.00
miRBase-miRNA_Match_Genome	mmu-mir-1951	1.00
miRBase-miRNA_Match_Genome	mmu-mir-1952	1.00
miRBase-miRNA_Match_Genome	mmu-mir-1953	20.00
miRBase-miRNA_Match_Genome	mmu-mir-1954	14.17
miRBase-miRNA_Match_Genome	mmu-mir-1957b	4.00
miRBase-miRNA_Match_Genome	mmu-mir-195a	2.00
